_ws.col.No.,_ws.col.Time,_ws.col.Source,_ws.col.Destination,_ws.col.Protocol,_ws.col.Length,_ws.col.Src_port,_ws.col.Dst_port,_ws.col.Delta_time,_ws.col.TTL
"71","1088.023100","172.20.10.2","47.100.95.105","TCP","66","48254","13531","0.000153","64"
"72","1088.024067","47.100.95.105","172.20.10.2","TCP","444","13531","48254","0.000967","48"
"73","1088.024178","172.20.10.2","47.100.95.105","TCP","78","48254","13531","0.000111","64"
"74","1098.200998","47.100.95.105","172.20.10.2","TCP","444","13531","48254","10.176820","48"
"75","1098.201125","172.20.10.2","47.100.95.105","TCP","66","48254","13531","0.000127","64"
"76","1148.406701","172.20.10.2","47.100.95.105","TCP","66","48254","13531","50.205576","64"
"77","1148.639292","47.100.95.105","172.20.10.2","TCP","66","13531","48254","0.232591","48"
"78","1160.848015","47.100.95.105","172.20.10.2","TCP","444","13531","48254","12.208723","48"
"79","1160.848172","172.20.10.2","47.100.95.105","TCP","66","48254","13531","0.000157","64"
"80","1205.683217","47.100.95.105","172.20.10.2","TCP","66","13531","48254","44.835045","48"
"81","1205.697789","172.20.10.2","47.100.95.105","TCP","74","48256","13531","0.014572","64"
"82","1205.778709","47.100.95.105","172.20.10.2","TCP","74","13531","48256","0.080920","49"
"83","1205.778893","172.20.10.2","47.100.95.105","TCP","66","48256","13531","0.000184","64"
"84","1205.779123","172.20.10.2","47.100.95.105","TCP","171","48256","13531","0.000230","64"
"85","1205.866479","47.100.95.105","172.20.10.2","TCP","66","13531","48256","0.087356","49"
"86","1205.866973","47.100.95.105","172.20.10.2","TCP","483","13531","48256","0.000494","49"
"87","1205.867142","172.20.10.2","47.100.95.105","TCP","66","48256","13531","0.000169","64"
"88","1255.926688","172.20.10.2","47.100.95.105","TCP","66","48256","13531","50.059546","64"
"89","1256.159416","47.100.95.105","172.20.10.2","TCP","66","13531","48256","0.232728","49"
"90","1282.492394","47.100.95.105","172.20.10.2","TCP","444","13531","48256","26.332978","49"
"91","1282.492549","172.20.10.2","47.100.95.105","TCP","66","48256","13531","0.000155","64"
"92","1282.494341","47.100.95.105","172.20.10.2","TCP","444","13531","48256","0.001792","49"
"93","1282.494471","172.20.10.2","47.100.95.105","TCP","78","48256","13531","0.000130","64"
"94","1282.494505","47.100.95.105","172.20.10.2","TCP","444","13531","48256","0.000034","49"
"95","1282.494524","172.20.10.2","47.100.95.105","TCP","78","48256","13531","0.000019","64"
"96","1332.726710","172.20.10.2","47.100.95.105","TCP","66","48256","13531","50.232186","64"
"97","1333.056769","47.100.95.105","172.20.10.2","TCP","66","13531","48256","0.330059","49"
"98","1383.926695","172.20.10.2","47.100.95.105","TCP","66","48256","13531","50.869926","64"
"99","1384.137924","47.100.95.105","172.20.10.2","TCP","66","13531","48256","0.211229","49"
"100","1404.521552","47.100.95.105","172.20.10.2","TCP","444","13531","48256","20.383628","49"
"101","1404.521706","172.20.10.2","47.100.95.105","TCP","66","48256","13531","0.000154","64"
"102","1404.521864","47.100.95.105","172.20.10.2","TCP","444","13531","48256","0.000158","49"
"103","1404.521894","172.20.10.2","47.100.95.105","TCP","78","48256","13531","0.000030","64"
"104","1454.966693","172.20.10.2","47.100.95.105","TCP","66","48256","13531","50.444799","64"
"105","1455.177398","47.100.95.105","172.20.10.2","TCP","66","13531","48256","0.210705","49"
"106","1461.677901","47.100.95.105","172.20.10.2","TCP","444","13531","48256","6.500503","49"
"107","1461.678055","172.20.10.2","47.100.95.105","TCP","66","48256","13531","0.000154","64"
"108","1511.686741","172.20.10.2","47.100.95.105","TCP","66","48256","13531","50.008686","64"
"109","1511.896533","47.100.95.105","172.20.10.2","TCP","66","13531","48256","0.209792","49"
"110","1563.126689","172.20.10.2","47.100.95.105","TCP","66","48256","13531","51.230156","64"
"111","1563.217623","47.100.95.105","172.20.10.2","TCP","66","13531","48256","0.090934","49"
"112","1583.340725","47.100.95.105","172.20.10.2","TCP","444","13531","48256","20.123102","49"
"113","1583.340878","172.20.10.2","47.100.95.105","TCP","66","48256","13531","0.000153","64"
"114","1633.526664","172.20.10.2","47.100.95.105","TCP","66","48256","13531","50.185786","64"
"115","1633.857280","47.100.95.105","172.20.10.2","TCP","66","13531","48256","0.330616","49"
"116","1686.006670","172.20.10.2","47.100.95.105","TCP","66","48256","13531","52.149390","64"
"117","1686.246132","47.100.95.105","172.20.10.2","TCP","66","13531","48256","0.239462","49"
"118","1706.206180","47.100.95.105","172.20.10.2","TCP","444","13531","48256","19.960048","49"
"119","1706.206320","172.20.10.2","47.100.95.105","TCP","66","48256","13531","0.000140","64"
"120","1756.406689","172.20.10.2","47.100.95.105","TCP","66","48256","13531","50.200369","64"
"121","1756.629737","47.100.95.105","172.20.10.2","TCP","66","13531","48256","0.223048","49"
"122","1808.886672","172.20.10.2","47.100.95.105","TCP","66","48256","13531","52.256935","64"
"123","1809.065186","47.100.95.105","172.20.10.2","TCP","66","13531","48256","0.178514","49"
"124","1829.093991","47.100.95.105","172.20.10.2","TCP","444","13531","48256","20.028805","49"
"125","1829.094129","172.20.10.2","47.100.95.105","TCP","66","48256","13531","0.000138","64"
"126","1829.094612","47.100.95.105","172.20.10.2","TCP","444","13531","48256","0.000483","49"
"127","1829.094676","172.20.10.2","47.100.95.105","TCP","78","48256","13531","0.000064","64"
"128","1879.286679","172.20.10.2","47.100.95.105","TCP","66","48256","13531","50.192003","64"
"129","1879.493094","47.100.95.105","172.20.10.2","TCP","66","13531","48256","0.206415","49"
"130","1931.766684","172.20.10.2","47.100.95.105","TCP","66","48256","13531","52.273590","64"
"131","1931.985652","47.100.95.105","172.20.10.2","TCP","66","13531","48256","0.218968","49"
"132","1953.194917","47.100.95.105","172.20.10.2","TCP","444","13531","48256","21.209265","49"
"133","1953.195073","172.20.10.2","47.100.95.105","TCP","66","48256","13531","0.000156","64"
"134","2003.446704","172.20.10.2","47.100.95.105","TCP","66","48256","13531","50.251631","64"
"135","2003.664401","47.100.95.105","172.20.10.2","TCP","66","13531","48256","0.217697","49"
"136","2054.646693","172.20.10.2","47.100.95.105","TCP","66","48256","13531","50.982292","64"
"137","2054.855294","47.100.95.105","172.20.10.2","TCP","66","13531","48256","0.208601","49"
"138","2074.852660","47.100.95.105","172.20.10.2","TCP","444","13531","48256","19.997366","49"
"139","2074.852821","172.20.10.2","47.100.95.105","TCP","66","48256","13531","0.000161","64"
"140","2125.046690","172.20.10.2","47.100.95.105","TCP","66","48256","13531","50.193869","64"
"141","2125.266404","47.100.95.105","172.20.10.2","TCP","66","13531","48256","0.219714","49"
"142","2177.526693","172.20.10.2","47.100.95.105","TCP","66","48256","13531","52.260289","64"
"143","2177.744981","47.100.95.105","172.20.10.2","TCP","66","13531","48256","0.218288","49"
"144","2185.148699","47.100.95.105","172.20.10.2","TCP","444","13531","48256","7.403718","49"
"145","2185.148850","172.20.10.2","47.100.95.105","TCP","66","48256","13531","0.000151","64"
"146","2235.766681","172.20.10.2","47.100.95.105","TCP","66","48256","13531","50.617831","64"
"147","2235.978983","47.100.95.105","172.20.10.2","TCP","66","13531","48256","0.212302","49"
"148","2268.101918","47.100.95.105","172.20.10.2","TCP","444","13531","48256","32.122935","49"
"149","2268.102056","172.20.10.2","47.100.95.105","TCP","66","48256","13531","0.000138","64"
"150","2318.326680","172.20.10.2","47.100.95.105","TCP","66","48256","13531","50.224624","64"
"151","2318.710053","47.100.95.105","172.20.10.2","TCP","66","13531","48256","0.383373","49"
"152","2372.086697","172.20.10.2","47.100.95.105","TCP","66","48256","13531","53.376644","64"
"153","2372.301133","47.100.95.105","172.20.10.2","TCP","66","13531","48256","0.214436","49"
"154","2390.999317","47.100.95.105","172.20.10.2","TCP","444","13531","48256","18.698184","49"
"155","2390.999462","172.20.10.2","47.100.95.105","TCP","66","48256","13531","0.000145","64"
"156","2391.033702","47.100.95.105","172.20.10.2","TCP","444","13531","48256","0.034240","49"
"157","2391.033822","172.20.10.2","47.100.95.105","TCP","78","48256","13531","0.000120","64"
"158","2409.129263","47.100.95.105","172.20.10.2","TCP","66","13531","48256","18.095441","49"
"159","2409.137901","172.20.10.2","47.100.95.105","TCP","74","48258","13531","0.008638","64"
"160","2409.218483","47.100.95.105","172.20.10.2","TCP","74","13531","48258","0.080582","49"
"161","2409.218658","172.20.10.2","47.100.95.105","TCP","66","48258","13531","0.000175","64"
"162","2409.218867","172.20.10.2","47.100.95.105","TCP","171","48258","13531","0.000209","64"
"163","2409.291921","47.100.95.105","172.20.10.2","TCP","66","13531","48258","0.073054","49"
"164","2409.292094","47.100.95.105","172.20.10.2","TCP","483","13531","48258","0.000173","49"
"165","2409.292138","172.20.10.2","47.100.95.105","TCP","66","48258","13531","0.000044","64"
"166","2435.856650","47.100.95.105","172.20.10.2","TCP","444","13531","48258","26.564512","49"
"167","2435.856789","172.20.10.2","47.100.95.105","TCP","66","48258","13531","0.000139","64"
"168","2435.857257","47.100.95.105","172.20.10.2","TCP","444","13531","48258","0.000468","49"
"169","2435.857315","172.20.10.2","47.100.95.105","TCP","78","48258","13531","0.000058","64"
"170","2486.006679","172.20.10.2","47.100.95.105","TCP","66","48258","13531","50.149364","64"
"171","2486.231069","47.100.95.105","172.20.10.2","TCP","66","13531","48258","0.224390","49"
"172","2541.046673","172.20.10.2","47.100.95.105","TCP","66","48258","13531","54.815604","64"
"173","2541.272518","47.100.95.105","172.20.10.2","TCP","66","13531","48258","0.225845","49"
"174","2558.757488","47.100.95.105","172.20.10.2","TCP","444","13531","48258","17.484970","49"
"175","2558.757628","172.20.10.2","47.100.95.105","TCP","66","48258","13531","0.000140","64"
"176","2558.757802","47.100.95.105","172.20.10.2","TCP","444","13531","48258","0.000174","49"
"177","2558.757838","172.20.10.2","47.100.95.105","TCP","78","48258","13531","0.000036","64"
"178","2576.881363","47.100.95.105","172.20.10.2","TCP","444","13531","48258","18.123525","49"
"179","2576.881485","172.20.10.2","47.100.95.105","TCP","66","48258","13531","0.000122","64"
"180","2576.912932","47.100.95.105","172.20.10.2","TCP","444","13531","48258","0.031447","49"
"181","2576.913050","172.20.10.2","47.100.95.105","TCP","78","48258","13531","0.000118","64"
"182","2627.446681","172.20.10.2","47.100.95.105","TCP","66","48258","13531","50.533631","64"
"183","2627.656332","47.100.95.105","172.20.10.2","TCP","66","13531","48258","0.209651","49"
"184","2665.367723","47.100.95.105","172.20.10.2","TCP","444","13531","48258","37.711391","49"
"185","2665.367863","172.20.10.2","47.100.95.105","TCP","66","48258","13531","0.000140","64"
"186","2665.368818","47.100.95.105","172.20.10.2","TCP","444","13531","48258","0.000955","49"
"187","2665.368919","172.20.10.2","47.100.95.105","TCP","78","48258","13531","0.000101","64"
"188","2706.233976","47.100.95.105","172.20.10.2","TCP","444","13531","48258","40.865057","49"
"189","2706.234138","172.20.10.2","47.100.95.105","TCP","66","48258","13531","0.000162","64"
"190","2706.234383","47.100.95.105","172.20.10.2","TCP","444","13531","48258","0.000245","49"
"191","2706.234418","172.20.10.2","47.100.95.105","TCP","78","48258","13531","0.000035","64"
"192","2706.234429","47.100.95.105","172.20.10.2","TCP","444","13531","48258","0.000011","49"
"193","2706.234445","172.20.10.2","47.100.95.105","TCP","66","48258","13531","0.000016","64"
"194","2761.206695","172.20.10.2","47.100.95.105","TCP","66","48258","13531","54.972250","64"
"195","2761.408294","47.100.95.105","172.20.10.2","TCP","66","13531","48258","0.201599","49"
"196","2812.406711","172.20.10.2","47.100.95.105","TCP","66","48258","13531","50.998417","64"
"197","2812.629559","47.100.95.105","172.20.10.2","TCP","66","13531","48258","0.222848","49"
"198","2828.819624","47.100.95.105","172.20.10.2","TCP","444","13531","48258","16.190065","49"
"199","2828.819778","172.20.10.2","47.100.95.105","TCP","66","48258","13531","0.000154","64"
"200","2878.966683","172.20.10.2","47.100.95.105","TCP","66","48258","13531","50.146905","64"
"201","2879.183216","47.100.95.105","172.20.10.2","TCP","66","13531","48258","0.216533","49"
"202","2930.166794","172.20.10.2","47.100.95.105","TCP","66","48258","13531","50.983578","64"
"203","2930.387892","47.100.95.105","172.20.10.2","TCP","66","13531","48258","0.221098","49"
"204","2930.838387","47.100.95.105","172.20.10.2","TCP","444","13531","48258","0.450495","49"
"205","2930.838537","172.20.10.2","47.100.95.105","TCP","66","48258","13531","0.000150","64"
"206","2981.366741","172.20.10.2","47.100.95.105","TCP","66","48258","13531","50.528204","64"
"207","2981.544323","47.100.95.105","172.20.10.2","TCP","444","13531","48258","0.177582","49"
"208","2981.544479","172.20.10.2","47.100.95.105","TCP","66","48258","13531","0.000156","64"
"209","2981.576125","47.100.95.105","172.20.10.2","TCP","66","13531","48258","0.031646","49"
"210","3032.566770","172.20.10.2","47.100.95.105","TCP","66","48258","13531","50.990645","64"
"211","3032.780665","47.100.95.105","172.20.10.2","TCP","66","13531","48258","0.213895","49"
"212","3083.766767","172.20.10.2","47.100.95.105","TCP","66","48258","13531","50.986102","64"
"213","3083.988313","47.100.95.105","172.20.10.2","TCP","66","13531","48258","0.221546","49"
"214","3105.385560","47.100.95.105","172.20.10.2","TCP","444","13531","48258","21.397247","49"
"215","3105.385728","172.20.10.2","47.100.95.105","TCP","66","48258","13531","0.000168","64"
"216","3155.446693","172.20.10.2","47.100.95.105","TCP","66","48258","13531","50.060965","64"
"217","3155.648551","47.100.95.105","172.20.10.2","TCP","66","13531","48258","0.201858","49"
"218","3206.646694","172.20.10.2","47.100.95.105","TCP","66","48258","13531","50.998143","64"
"219","3206.983680","47.100.95.105","172.20.10.2","TCP","66","13531","48258","0.336986","49"
"220","3231.304894","47.100.95.105","172.20.10.2","TCP","444","13531","48258","24.321214","49"
"221","3231.305029","172.20.10.2","47.100.95.105","TCP","66","48258","13531","0.000135","64"
"222","3231.305493","47.100.95.105","172.20.10.2","TCP","444","13531","48258","0.000464","49"
"223","3231.305538","172.20.10.2","47.100.95.105","TCP","78","48258","13531","0.000045","64"
"224","3235.299356","47.100.95.105","172.20.10.2","TCP","444","13531","48258","3.993818","49"
"225","3235.299494","172.20.10.2","47.100.95.105","TCP","66","48258","13531","0.000138","64"
"226","3285.366694","172.20.10.2","47.100.95.105","TCP","66","48258","13531","50.067200","64"
"227","3285.654921","47.100.95.105","172.20.10.2","TCP","66","13531","48258","0.288227","49"
"228","3339.766705","172.20.10.2","47.100.95.105","TCP","66","48258","13531","54.111784","64"
"229","3339.986999","47.100.95.105","172.20.10.2","TCP","66","13531","48258","0.220294","49"
"230","3348.528250","47.100.95.105","172.20.10.2","TCP","444","13531","48258","8.541251","49"
"231","3348.528408","172.20.10.2","47.100.95.105","TCP","66","48258","13531","0.000158","64"
"232","3392.079643","47.100.95.105","172.20.10.2","TCP","444","13531","48258","43.551235","49"
"233","3392.079810","172.20.10.2","47.100.95.105","TCP","66","48258","13531","0.000167","64"
"234","3392.080305","47.100.95.105","172.20.10.2","TCP","444","13531","48258","0.000495","49"
"235","3392.080374","172.20.10.2","47.100.95.105","TCP","78","48258","13531","0.000069","64"
"236","3431.633596","47.100.95.105","172.20.10.2","TCP","444","13531","48258","39.553222","49"
"237","3431.633747","172.20.10.2","47.100.95.105","TCP","66","48258","13531","0.000151","64"
"238","3481.846672","172.20.10.2","47.100.95.105","TCP","66","48258","13531","50.212925","64"
"239","3482.169420","47.100.95.105","172.20.10.2","TCP","66","13531","48258","0.322748","49"
"240","3527.552989","47.100.95.105","172.20.10.2","TCP","444","13531","48258","45.383569","49"
"241","3527.553146","172.20.10.2","47.100.95.105","TCP","66","48258","13531","0.000157","64"
"242","3580.406693","172.20.10.2","47.100.95.105","TCP","66","48258","13531","52.853547","64"
"243","3580.631303","47.100.95.105","172.20.10.2","TCP","66","13531","48258","0.224610","49"
"244","3601.355672","47.100.95.105","172.20.10.2","TCP","444","13531","48258","20.724369","49"
"245","3601.355829","172.20.10.2","47.100.95.105","TCP","66","48258","13531","0.000157","64"
"246","3611.062624","47.100.95.105","172.20.10.2","TCP","66","13531","48258","9.706795","49"
"247","3611.067776","172.20.10.2","47.100.95.105","TCP","74","48260","13531","0.005152","64"
"248","3611.155152","47.100.95.105","172.20.10.2","TCP","74","13531","48260","0.087376","49"
"249","3611.155344","172.20.10.2","47.100.95.105","TCP","66","48260","13531","0.000192","64"
"250","3611.155592","172.20.10.2","47.100.95.105","TCP","171","48260","13531","0.000248","64"
"251","3611.248587","47.100.95.105","172.20.10.2","TCP","66","13531","48260","0.092995","49"
"252","3611.249986","47.100.95.105","172.20.10.2","TCP","484","13531","48260","0.001399","49"
"253","3611.250106","172.20.10.2","47.100.95.105","TCP","66","48260","13531","0.000120","64"
